Time,Org.,Artist,Title,Show,Imp's,RM ID
-,,,,,0

06 Feb 2024 - 14:07,US,Post Malone,Enough Is Enough,,164 516,4132887
06 Feb 2024 - 14:11,NL,Kris Kross Amsterdam  Conor..,Stay (Never Leave),,164 516,4190592
06 Feb 2024 - 14:12,NL,Armin Van Buuren & Goodboys,Forever (Stay Like This),,164 516,4270224
06 Feb 2024 - 14:16,US,Britney Spears,...Baby One More Time,,164 954,5590
06 Feb 2024 - 14:20,US,Teddy Swims,The Door,,164 954,4252034
06 Feb 2024 - 14:23,GB,Joel Corry & Tom Grennan,Lionheart (Fearless),,164 954,3898124
06 Feb 2024 - 14:33,SE,Loreen,Is It Love,,165 173,4196476
06 Feb 2024 - 14:36,NL,Chef'Special,Miracles,,165 173,4140919
06 Feb 2024 - 14:39,NL,Nick Schilder,Realize,,165 173,4190435
06 Feb 2024 - 14:42,US,Eminem,Lose Yourself,,165 173,23023
06 Feb 2024 - 14:47,NL,Douwe Bob,Nothing To Lose,,165 392,4271574
06 Feb 2024 - 14:48,GB,Clean Bandit feat. Jess Glynne,Rather Be,,165 392,371102
06 Feb 2024 - 14:53,US,Noah Kahan,Stick Season,,165 392,3815667
06 Feb 2024 - 14:56,DE,Peggy Gou,(It Goes Like) Nanana,,165 392,4097156

06 Feb 2024 - 15:07,FR,David Guetta & Kim Petras,When We Were Young (The Log..,,165 830,4225667
06 Feb 2024 - 15:09,US,Camila Cabello feat. Ed She..,Bam Bam,,165 830,3689611
06 Feb 2024 - 15:14,NL,Di-Rect,My Blood,,165 830,4287638
06 Feb 2024 - 15:18,CA,Carly Rae Jepsen,Call Me Maybe,,164 013,132323
06 Feb 2024 - 15:21,NL,SERA x YouNotUs,I Can't Be The Only One,,164 013,4258794
06 Feb 2024 - 15:25,US,Sam Hunt,Take Your Time,,164 013,844180
06 Feb 2024 - 15:36,BE,Lost Frequencies,The Feeling,,163 105,4077486
06 Feb 2024 - 15:38,GB,Anne-Marie & Shania Twain,UNHEALTHY,,163 105,4072080
06 Feb 2024 - 15:42,US,Toto,Africa,,163 105,5216
06 Feb 2024 - 15:44,BR,Alok & Bebe Rexha,Deep In Your Love,,163 105,4269452
06 Feb 2024 - 15:48,US,Pink,All Out Of Fight,,162 197,4246436
06 Feb 2024 - 15:52,CA,Justin Bieber,Sorry,,162 197,1150720
06 Feb 2024 - 15:54,NL,Flemming  ZoëTauran & Ronni..,Alles Op Gevoel,,162 197,4266775
06 Feb 2024 - 15:57,NL,R3HAB  INNA  Sash!,Rock My Body,,162 197,4054071

06 Feb 2024 - 16:06,NL,Lucas & Steve feat. Conor B..,What We Know,,160 380,4185236
06 Feb 2024 - 16:10,NL,Rondé,Bright Eyes,,160 380,3871256
06 Feb 2024 - 16:15,US,Alexis Jordan,Happiness,,147 442,24116
06 Feb 2024 - 16:26,BE,Pommelien Thijs & Jaap Reesema,Nu Wij Niet Meer Praten,,147 442,3166194
06 Feb 2024 - 16:40,SE,Loreen,Is It Love,,140 973,4196476
06 Feb 2024 - 16:42,GB,George Ezra,Green Green Grass,,140 973,3735229
06 Feb 2024 - 16:44,NL,Armin Van Buuren & Goodboys,Forever (Stay Like This),,140 973,4270224
06 Feb 2024 - 16:52,NL,Racoon,Love You More,,134 503,234558
06 Feb 2024 - 16:55,US,Teddy Swims,Lose Control,,134 503,4104535

06 Feb 2024 - 17:07,NL,Douwe Bob,This World Is Our Home,,121 565,4092329
06 Feb 2024 - 17:10,FR,Ofenbach feat. Norma Jean M..,Overdrive,,121 565,4190262
06 Feb 2024 - 17:16,NL,Jelte Van Der Goat feat. Si..,Zes Geiten,,103 167,4290866
06 Feb 2024 - 17:23,US,Camila Cabello,Liar,,103 167,2723011
06 Feb 2024 - 17:25,NL,Son Mieux,Tonight,,103 167,4193422
06 Feb 2024 - 17:42,NL,Kris Kross Amsterdam  Conor..,Stay (Never Leave),,93 968,4190592
06 Feb 2024 - 17:45,GB,Queen,Don't Stop Me Now,,84 769,4957
06 Feb 2024 - 17:47,FR,David Guetta feat. Anne-Mar..,Baby Don't Hurt Me,,84 769,4034977
06 Feb 2024 - 17:52,NL,Jelte Van Der Goat feat. Si..,Zes Geiten,,84 769,4290866
06 Feb 2024 - 17:55,AU,Dean Lewis,Trust Me Mate,,84 769,4181391

06 Feb 2024 - 18:07,GB,Calvin Harris & Sam Smith,Desire,,66 371,4132771
06 Feb 2024 - 18:10,US,Noah Kahan,Stick Season,,66 371,3815667
06 Feb 2024 - 18:11,GB,Jessie J,Domino,,66 371,102155
06 Feb 2024 - 18:21,NL,Davina Michelle,17,,57 555,4220549
06 Feb 2024 - 18:26,NO,Kygo feat. Parson James,Stole The Show,,57 555,940176
06 Feb 2024 - 18:41,GB,Dua Lipa,Houdini,,53 148,4225307
06 Feb 2024 - 18:44,US,Ava Max,Weapons,,53 148,3919290
06 Feb 2024 - 18:46,NL,Di-Rect,My Blood,,48 740,4287638
06 Feb 2024 - 18:54,US,Pussycat Dolls  The feat. B..,Don't Cha,,48 740,6566
